text,favorite_count,retweet_count,user.followers_count,user.friends_count,label
KKK already raising money for the police officer who shot and killed #MikeBrown - #Ferguson http://t.co/VWkZXjHF7V,39,180,18565,36,1
#Ferguson officials to release name of cop who shot Michael Brown on Friday http://t.co/x0P9yUhzUU http://t.co/Gk2DxncNov,131,241,1696410,2893,1
COUNTDOWN: One hour until #Ferguson police release the name of the officer that shot #MichaelBrown.,90,226,7975,2866,1
At 8:00 police will release the name of the officer who shot Michael Brown. #Ferguson,204,521,106227,1041,1
"Name of #Ferguson cop is expected to be released by 9 ET, police chief says: http://t.co/NhMsTgfzYi (J.B. Forbes, AP) http://t.co/7LU1iT1EKB",38,100,1208620,734,1
Developing: Police in #Ferguson expected to announce the name of the officer who killed unarmed teen Michael Brown within the hour.,29,100,4261846,2771,1
"#Ferguson cops beat man, charged him w/""property damage"" for bleeding on their uniforms. Then they lied in court. http://t.co/B0DSHrIfA1",120,468,795,688,1
#Ferguson PD expected to release the name of officer who killed Mike Brown shortly. Watch here http://t.co/7XiK3mhlzZ,43,137,9324,549,1
Police in #Ferguson plan to release name of officer who shot unarmed teen Michael Brown: http://t.co/oqns3yVfTx http://t.co/9fb09WUtdN,48,125,53516,316,1
The name of the officer who fatally shot teenager #MichaelBrown will be released shortly. Watch CNN: http://t.co/0QL42wwP0v #Ferguson,96,277,13663284,970,1
"http://t.co/Qwgr0uMaX4 Ferguson, Missouri, Police to Release Name of Officer in Fatal Shooting #Ferguson #FergusonShooting #FergusonRiot",0,331,282,882,1
BREAKING NEWS: NAME OF OFFICER WHO SHOT #MIKEBROWN - OFFICER DAREN WILSON - #Ferguson,101,266,18448,36,1
BREAKING: Darren Wilson named as officer who fatally shot #MichaelBrown in #Ferguson,46,238,153336,19775,1
"#Breaking: The officer involved in the shooting of Michael Brown is named Darren Wilson, #Ferguson police chief says.",27,108,4261501,2771,1
"BREAKING: #Ferguson police chief just announced that officer Darren Wilson shot the unarmed teen, Michael Brown.",49,123,288854,1072,1
"The name of the officer who shot #MikeBrown has been named. His name is Darren Wilson, a 6-year veteran of the #Ferguson police department.",306,1343,107118,1041,1
URGENT: Darren Wilson is the police officer who shot Mike Brown http://t.co/RZ1eYcKpiY #Ferguson http://t.co/D2HyKchWvq,50,195,722151,413,1
BREAKING - #Ferguson's police chief has announced Darren Wilson as the cop who shot and killed #MikeBrown. (not the guy named by Anonymous),44,145,118431,206,1
"First, #MikeBrown was accused of shoplifting. Now, it's a robbery? It's very telling how the #Ferguson PD keeps spewing lie after lie.",58,151,14865,1361,1
BREAKING: #Ferguson police have identified Darren Wilson as the cop who shot and killed Michael Brown. More details to come...,60,173,7382,656,1
BREAKING: #Ferguson police chief names Darren Wilson in killing of unarmed teen,55,155,4152215,393,1
JUST IN: #Ferguson police identify officer who shot Michael Brown http://t.co/ynEjjl1uD1,42,111,3435513,863,1
"Question for #Ferguson police chief? If OFFICER DARREN WILSON was in pursuit of a robbery suspect, why tell kids to get out of the road? LIE",114,245,11082,10092,1
"That was very ""SLICK"" of the Police Chief to create a narrative that #MikeBrown was a ""suspect"" in a robbery!  #Ferguson",58,109,58301,4177,1
"Let's be clear, #Ferguson PD never said Officer Darren Wilson was responding to robbery call before contact w/ #MikeBrown until today.",54,175,1967,1801,1
"Police name the officer who shot #Ferguson teenager #MichaelBrown. Watch: http://t.co/O76WptH1nE 
http://t.co/R6bxjsY9CZ",101,287,97732,640,1
7) #MikeBrown was approached for mouthing off to a cop (both  #Ferguson PD &amp; eyewitness testimonies reflect this). NOT as a robbery suspect,18,108,1624,988,1
Darren Wilson is a six year veteran of the #Ferguson Police and had no disciplinary actions against him.,10,139,19134,1721,1
"Because, of course, when someone commits a robbery they stroll down the middle of the street where everyone can see them. #Ferguson",212,545,31665,966,1
"REMINDER: #MikeBrown was a kid who just wanted to walk down a street. And for that, HE IS DEAD. Those are the facts. #Ferguson",122,201,13933,2023,1
today #MichaelBrown would've completed his 1st week of college &amp; #Ferguson police chief spent most time suggesting he's the criminal,40,117,26208,976,1
"Police reports released this morning indicate Mike Brown was a suspect in a ""strong-armed"" robbery in #Ferguson",35,156,2694,688,1
Hold on while Chief Jackson sprinkles a little crack on that Mike Brown crime scene ... #Ferguson,38,102,1667,702,1
#MikeBrown wanted to walk down the street. And he is dead. And the #Ferguson PD is using his silence in death to make him a criminal.,38,108,13953,2025,1
"BREAKING NEWS: According to documents released to the press, #MikeBrown was connected to an earlier robbery #Ferguson http://t.co/LuCR9711S0",40,105,18738,36,1
"I personally don't trust St. Louis County PD, and I think they waited all this time to forge and falsify evidence. #Ferguson #MikeBrown",224,485,18480,36,1
"Oh, a suspect in a robbery? That changes everything. Everyone knows summary execution is the penalty for suspicion of robbery #Ferguson",167,319,1883,1101,1
"Every time the police talk, their story changes. I hate it. #Ferguson",97,210,5849,617,1
2nd Video footage proving #Ferguson PD Chief lied on @Fox2Now RT @TheAnonMessage2: After moments of #MikeBrown death. http://t.co/5V8mTws9Ep,33,101,3466,1052,1
#Ferguson police say Michael Brown fit description of strong-arm robbery suspect  http://t.co/bxXMNDzhe6,103,203,4148958,393,1
"So the angel Michael Brown who is 6'4"" 290 is the robber of the convenience store! #Ferguson http://t.co/d81cQPHzbi",53,116,41587,21717,1
The surveillance tape the police have on TV DOESNT even look like anything near Canfield Green apts. #MIKEBROWN #Ferguson,25,137,6078,621,1
"The info given today seems to line up with this witness account, even the alleged theft: http://t.co/7hjBIrf1a3

#Ferguson #MikeBrown",409,887,108857,1041,1
If there is surveillance of a robbery why release stills and not the video itself? #Ferguson,60,125,15127,1025,1
"#Ferguson police hand out info to make Michael Brown seem like a thug. But nothing on how he was actually killed, interaction with officer.",55,146,37092,5630,1
I'm NOT believing this story because I know how the police lie and will keep lying and will organize together AND LIE. #MIKEBROWN #Ferguson,88,176,5841,617,1
It's not #MikeBrown in those #Ferguson police video stills. Not unless he changed his shoes after the robbery but before he met the officer.,47,101,1570,1118,1
"If Dorian Johnson is a suspect in a robbery that justified #DarrenWilson killing #MikeBrown, why hasn't Dorian been arrested? #Ferguson",57,143,9022,1906,1
"""Police in #Ferguson, once charged a man with destruction of property for bleeding on their uniforms while four of them allegedly beat him.""",32,196,2995,978,1
Update: #Ferguson police release stills from convenience store footage showing robbery http://t.co/rl0RgIphUp http://t.co/PHUofG7mJR,62,219,4259965,2771,1
Bottom line: cops are supposed to use deadly force only when lives are at risk. You don't shoot robbery suspects. #Ferguson,957,1980,165281,888,1
"So police narrative in #Ferguson is unarmed teen suspected in unarmed robbery was shot to death. We've still got a problem, Chief.",76,168,1723,1393,1
#Ferguson Police apparently has a history of fabrication.  http://t.co/x1d3QTfEBx,69,265,2506,1098,1
MORE: #Ferguson police chief identifies Darren Wilson as cop who shot Michael Brown http://t.co/Qojlgp8mlc http://t.co/mwZBmZjAst,93,274,1697873,2893,1
Being shot 10 times in the street for stealing cigars is due process? No arrest. No trial. No conviction―just immediate execution. #Ferguson,65,232,798,97,1
"the police version is also that #MikeBrown approached the officer. But if he had JUST robbed a store, why approach police?? #Ferguson",48,215,1624,988,1
"An observation from yrs in practice - if it takes you 5 days to get your story out &amp; it doesn't make sense, it's probably not true #Ferguson",56,117,3827,1921,1
".....for a cover-up to be successful....you must first discredit the victim.....

#Ferguson",73,239,5803,357,1
"And I feel silly for pointing this out but...

In America we don't have  executions by gunfire for alleged robberies. #Ferguson #MikeBrown",190,380,28609,521,1
So lets recap. No dashboard cam of the incident. But definitely photos of Michael Brown in a store. Funny how that happens #NMOS14 #Ferguson,63,107,3580,2589,1
"Cops were extra aggressive to incite fear and cause chaos, giving the #Ferguson PD time to destroy and/or manufacture any ""evidence"" needed",34,116,8939,1368,1
"The police chief is a 5 star general in projection, imagination and deflection...took a week to hatch this theory #Ferguson",66,131,184832,212,1
Just did a google map search. There are 2 Quick Trips in #Ferguson and they are on opposite ends of the town. Did #MikeBrown teleport?,18,149,1624,988,1
"basically #Ferguson PD did an opposition research dump on mike brown, and not their jobs",51,101,21397,3999,1
Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,141,331,18662,36,1
"In 2009 #Ferguson PD beat a black man, then charged him for getting blood on their uniforms http://t.co/Y1QTm1BZyt http://t.co/KcuZ5VFMOn",96,515,1171,1692,1
so #MikeBrown's hat disappeared and he changed into shoes right? #Ferguson http://t.co/2zu5sUH84S,168,409,3054,372,1
so if he was with #DorianJohnson at the robbery why wasn't he in custody? All media outlets interviewed him before the police #Ferguson,43,113,26199,976,1
The selective release of information by #Ferguson PD tells us nothing about the shooting. Instead appears to be a basic smear job.,87,366,949,712,1
Here's the police report. Somehow #Ferguson cops valued a box of Swishers at nearly $50. Time to stop smokin I guess http://t.co/8ZkvrHkApc,154,513,29911,276,1
#Ferguson cops beat innocent man then charged him for bleeding on them: http://t.co/u1ot9Eh5Cq via @MichaelDalynyc http://t.co/AGJW2Pid1r,375,925,1407,1765,1
"This is simple: IF #MikeBrown was a robbery suspect, why didn’t #Ferguson police say that on DAY ONE? Why wait six days?",456,942,283457,1650,1
#Ferguson PD releases robbery incident report smearing #MikeBrown but not shooting incident report. Did they think we wouldn’t notice?,254,515,32197,236,1
These surveillance images were taken at a convenience store 10 min. Before #MichaelBrown was shot Sat. #Ferguson http://t.co/mnReDcRfzz,31,144,1434,1993,1
"DARREN WILSON
MURDERED AN UNARMED TEEN
LEFT HIS BODY IN THE STREET FOR 4 HRS

Anything else is irrelevant.
#MikeBrown
#Ferguson
#CoverUp",44,110,2105,629,1
"Let's not forget that even if Mike Brown did shoplift, that's not why police said he was stopped or why he was shot. #mikebrown #ferguson",31,128,185,585,1
So basically #Ferguson PD hijacked what was supposed to be a press conference about Darren Wilson to call Michael Brown a criminal #NMOS14,159,446,3593,2590,1
"If Mike Brown was engaged in a robbery before being shot, why isn't his alleged accomplice under arrest? #Ferguson http://t.co/upMLU4bbK4",177,407,37830,5439,1
"The surveillance photos, the police report, and this witness account. #Ferguson http://t.co/Sbx9tfA5FA http://t.co/JGgtaXYOxz",356,904,99734,1030,1
So in 5mins mike brown shaved his head and changed his scandals to shoes. I think your being lied too #Ferguson http://t.co/GSaYdYUhJr,60,135,1205,1175,1
"Assuming #MichaelBrown and #DorianJohnson were involved in robbery, when can we expect President Obama's apology to the #Ferguson PD?
#tcot",61,119,50981,6075,1
Looks like #Ferguson PD spent their whole week on a smear campaign against #MikeBrown instead of investigating or being at all helpful.,64,209,828,980,1
"So a large Negro robbed a store and then the cops saw a large Negro.

WHAT WERE THEY SUPPOSED TO DO?!?!

Perhaps not execute him. #Ferguson",300,461,28393,521,1
"I'm not retweeting the pic of #MikeBrown's body, but evidently he lost the hat and changed his shoes and shorts. And lost ~40 lbs. #Ferguson",117,308,2496,1630,1
Photos of alleged robbery involving Michael Brown in #Ferguson (via police) http://t.co/gr83XTGO1t http://t.co/7V34OtGYcn,83,261,1696955,2893,1
Look at his arrive time on the report. This man was still in the store. Exlplain this. #Ferguson #FergusonShooting http://t.co/caOWNddXxa,140,437,385,375,1
The other day I asked a manager at the #Ferguson Market if police had requested surveillance video. She said no.,67,161,2247,1013,1
Cigarettes on Staten Island. Cigars in #Ferguson. Are these seriously enough to take a life?,108,246,112774,1096,1
"Witness to #Ferguson shooting atty confirms Brown took cigars from store.  Client told FBI he ""did take cigarillos"" http://t.co/j9BARBU0c7",34,127,652004,629,1
"So in #Ferguson, robbing a convenience carries the death penalty. Got it.",48,121,6438,5599,1
Arrived in Crestwood where officer Darren Wilson lives. When I knocked police officer rolled up and told me Wilson left days ago #Ferguson,145,826,2215,1951,1
It took the police 5 days to concoct this tale and this is what they came up with? #ninjaplease #ferguson,97,138,25504,1592,1
#Ferguson police once beat a man then charged him with destruction of property for bleeding on their uniforms http://t.co/KbTFfyI8mw,40,186,6424,1037,1
Police have named the cop who shot Michael Brown. @alicesperi's latest report from #Ferguson: http://t.co/1K79nsOtx3 http://t.co/cV3VCkUR6L,173,204,180022,269,1
"Shoot unarmed kid.
Conceal evidence.
Impose martial law.
Harass reporters.
Smear the victim.
Worst. Police. Ever.
#Ferguson #MikeBrown",420,784,61890,53099,1
"If #MikeBrown is indeed the robber, where’s the red ball cap? Sandals? Stolen cigars? #ferguson",401,917,32189,236,1
The day #Ferguson cops beat a man and charged him with getting his blood on their uniforms http://t.co/JawJSRGJ9m http://t.co/B9lA31LLis,167,530,1596,320,1
"RT .@rolandsmartin: This is simple: IF #MikeBrown was a robbery suspect, why didn’t #Ferguson police say that on DAY ONE? Why wait six days?",99,253,1000580,2221,1
"They wanted u 2 believe that #TrayvonMartin was a criminal, #EricGarner a criminal, #RenishaMcBride a thief, &amp; now #MikeBrown #Ferguson",88,310,214,867,1
#Ferguson PD releases robbery incident report smearing #MikeBrown but not shooting incident report. Did they think we wouldn’t notice?,40,163,694,650,1
"Took a week, but we finally at the moment where Mike Brown Is officially a suspect in his own murder. #Ferguson",168,380,8494,3069,1
You release the robbery report and not the shooting report? Do you think we don't see you?#Ferguson PD?,86,186,3641,1887,1
"#Ferguson police once charged a man with property damage because his blood got on their uniforms when they beat him.
http://t.co/vceyBKQgwv",41,154,7125,997,1
Someone with better eyes than me please #checkthedatestamp on the bottom left photo. Isn't that JUNE? #Ferguson http://t.co/PTNuxY2v5B,30,117,249,598,1
"Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists #Ferguson",69,114,63831,139,1
"""#Ferguson PD charged a man with destruction of property for bleeding on their uniforms while 4 officers beat him."" http://t.co/x4K1rHyXdn",57,200,2228,457,1
The day #Ferguson cops beat a man and charged him with getting his blood on their uniforms http://t.co/P2mW9Nu8pB … http://t.co/6kBUzLXzFY,100,438,23511,133,1
It appears that #Ferguson PD are trying to assassinate Mike Brown's character after literally assassinating Mike Brown.,52,230,488,525,1
"Possible ""robbery"" took place and BAM! Like magic it's as if another UNARMED black youth being murdered has been forgotten #smh #Ferguson",60,129,29932,276,1
"Even if #MikeBrown was running down the street with a bag full of boosted goods, he deserved a trial. Not a street execution. #Ferguson",271,448,3525,1480,1
BREAKING: Lawyer says that Brown's friend confirms that he did take the cigarillos (via. MSNBC) http://t.co/G6wckF1hVm #Ferguson,45,135,18489,36,1
"The ""Robbery"" Incident Report released by #Ferguson PD today is sketchy at best. What stood out? NAMING #MikeBrown. How did they know?",32,159,8925,1905,1
This isn't the first time #Ferguson PD lied. Read this article. http://t.co/3miqibGdzQ,92,184,18549,36,1
"Every incident report I've seen says ""the suspect was X,"" ""the suspect did Y."" On the #Ferguson report, #MikeBrown is ALREADY NAMED. HOW??",71,265,9021,1906,1
Do you understand what I'm saying? How had they already determined #MikeBrown was the suspect when the #Ferguson report was written?,31,164,9000,1906,1
"*IF* the report was written same day as the shooting, as bungling as #Ferguson cops have been, we're to believe they had #MikeBrown's name?",41,137,9021,1906,1
"#Ferguson PD made #MikeBrown the suspect in that ""robbery"" police report. ON WHAT BASIS DID THEY NAME HIM? Unless it was written after....",43,141,8933,1905,1
"Michael Brown was suspected of robbing store in #Ferguson before being shot, say police http://t.co/KUZQGasFgA http://t.co/TjuEVB8z5m",88,161,115083,1873,1
#Ferguson Chief confirmed name of officer who shot #MichaelBrown is Darren Wilson. @ksdknews,162,312,1293905,862,1
Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/kLB4im10qo,35,113,162646,521,1
#Ferguson police say shooting death of Michael Brown came after teen was suspect in robbery: http://t.co/KSXV15Y5yw http://t.co/qi7Z5SUWtS,30,114,53618,316,1
#Ferguson cops beat this man – then charged him for getting blood on their uniforms http://t.co/oLmNINLm1x http://t.co/x6dnPvSU5H,79,232,26012,2022,1
"If we shot everyone in the street for stealing, imagine the carnage on Wall St. #mikebrown #ferguson",99,143,1933,1028,1
"The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast): http://t.co/gnAlHsS7tu http://t.co/vpqnDDVd2u",98,275,112552,14386,1
"#Ferguson PD beat, &amp; charged innocent man with ""Property Damage"" for bleeding on officer's clothes @YourAnonNews  http://t.co/cdyvEIzZRw",121,395,97,132,1
"Violence, brutality, suppression of free speech. Attacks on journalists. 

Yeah. Let's believe everything the Police say. #Ferguson",149,254,28563,521,1
42) Is the #Ferguson investigation trying to get all of the facts to find the truth or trying to cover their behinds?,29,121,58298,4176,1
Why would the officer tell #MikeBrown to get out of the street if he was a suspect? #Ferguson,60,129,14611,1020,1
Alleged theft of cigars is not a reason to shoot dead an unarmed teenager. #MichaelBrown #Ferguson,376,578,4217288,867,1
"Let's be serious, it took 5 days to release the incident report because it took 5 days to create the incident. #Ferguson",71,130,12066,10436,1
!! #Ferguson cops once nabbed wrong man but charged him w/ property damage for bleeding on uniforms-they had beat him http://t.co/p5TRiQtWFY,75,249,17156,211,1
Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/zmzd813Jzb,73,168,162748,521,1
"All weekend ppl will be talking about the ""robbery"" instead of the shooting bc #Ferguson PD didn't release any info about the shooting.",41,116,25568,1593,1
How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson,187,258,15222,1026,1
Disgusting: MO chapter of Klan raising money as “reward” for the officer killing #MikeBrown. #Ferguson #UniteBlue http://t.co/xRCCazRSFs,67,289,14147,14950,1
"#Ferguson police say Michael Brown was robbery suspect, which totally explains why he got the death penalty without a trial.",226,319,35293,4230,1
"If you can justify shooting an unarmed teenager by saying ""he might have been committing a misdemeanor"" you are a fucking asshole. #Ferguson",137,229,220,98,1
WATCH: Surveillance Video of Strong-Arm Robbery Linked to Michael Brown #Ferguson http://t.co/6fjtzxU063,44,104,451203,1463,1
"Family of Michael Brown slams #Ferguson police chief's ""devious"" attempt to ""blame the victim"" http://t.co/4V3uWtShQH http://t.co/GBnglBgJmo",221,574,4262522,2771,1
#Ferguson police are embarking on what can only be described as an elaborate smear campaign of Michael Brown http://t.co/SaLZExqR1D,227,658,397901,5761,1
Wait wasn't Michael Brown stopped because of a routine patrol? Police can't even keep their stories straight. #Ferguson @OpFerguson,59,100,327,543,1
"From jaywalking to strong-arm robbery. 

Mhm... #Ferguson",139,213,18447,36,1
"Hobby Lobby asks #Ferguson PD for clarification: ""We thought chopping off someone's hand was the maximum penalty for shoplifting""",137,154,81745,72382,1
Sooooooo Chief of #Ferguson lied and said that an ambulance was on the scene? #OpFerguson @OpFerguson @YourAnonNews http://t.co/1XX6A5Mt9x,190,495,20589,15807,1
"""@smokey: ""You can't jump over a murder &amp; talk to me about some cigars…""  @thereval @newsone #Ferguson"" #KeepingItRealRadio",107,139,404280,199,1
New link: #Ferguson police release video they say shows a robbery involving #MichaelBrown: http://t.co/GMDuU33oed http://t.co/RaAWvjcWNu,217,477,97726,640,1
Why was #Ferguson PD still looking for the suspect 7 hours after Michael Brown had been killed? http://t.co/xmMMBBN5nT,841,2340,1250,1099,1
"#Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/JUQ3pKvbCm http://t.co/pByb9IUqew",140,475,722271,413,1
You'd think it would've been more newsworthy when Missouri got rid of due process and made shoplifting a capital crime #Ferguson #MikeBrown,107,164,47498,3,1
"#MikeBrown's family calls it ""devious"" the way the police chief released info meant to ""assassinate"" their son's character. #Ferguson",49,145,101849,35,1
"In 2009, #Ferguson police beat a man and charged him for bleeding on them: http://t.co/KzF6Z1l0UK",119,293,418674,36955,1
Boom RT @newsneighbor Why was #Ferguson PD still looking for the suspect 7 hours after Michael Brown had been killed? http://t.co/4TH5aFsge2,50,125,643,588,1
Educated guess: possible reason they didn't release shooter's incident report--he didn't write one on advice of his lawyer. #Ferguson,98,219,250439,283,1
"ICYMI: The info given today seems to line up with this witness account, even the alleged theft: http://t.co/7hjBIrf1a3

#Ferguson #MikeBrown",190,309,108431,1041,1
#Ferguson police chief now says that the robbery DOES NOT relate to the initial contact between Darren Wilson and Michael Brown,42,138,5104,1214,1
Chief Jackson: initial contact between officer and #MikeBrown was not related to robbery. #Ferguson,30,142,101719,35,1
#Ferguson police chief just confirmed that officer's interaction with Michael Brown NOT related to the robbery.,109,340,13529,340,1
#Ferguson Police Chief: The initial contact between #DarrenWilson and #MikeBrown was NOT related to the alleged theft of cigars.,629,1906,106438,1041,1
Why release the report about the robbery if it's not related to the contact with the cop who shot him? This all stinks. #Ferguson,88,216,39625,10503,1
"WOW RT @themarkberman: ""The initial contact between the officer and Mr. Brown was not related to the robbery,"" #Ferguson police chief says",49,111,1000335,2220,1
"""I know his initial contact was not related to the robbery,"" #Ferguson chief says. ""It was related to blocking the road.""",44,156,5105,1214,1
BOMBSHELL: #Ferguson chief says the police officer might not have even known about the robbery when he shot and killed Michael Brown.,44,188,7798,2858,1
Chief Jackson: officer was not aware that #MikeBrown was a robbery suspect. #Ferguson,28,155,101190,35,1
Chief seems to make it very clear that shooter did NOT write an incident report. 5th Amendment. #Ferguson,182,504,250458,283,1
"#Ferguson Police Chief confirms when officer stopped #MikeBrown, he was not aware he was a suspect in a robbery.",36,185,2185,488,1
"Q: Why did he stop Michael Brown? ""Because he was walking down the middle of the street,"" #Ferguson chief says.",36,161,7798,2858,1
The #Ferguson police chief confirmed the stop of #MikeBrown had absolutely nothing to do with the alleged convenience store robbery.,42,160,7541,3022,1
